County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Gallatin County, Montana,6956,58720,2593060782,849,44160,1,1,MT
Garfield County, Montana,60,306,8691293,547,28434,1,1,MT
Glacier County, Montana,314,4105,161230089,755,39278,1,1,MT
Golden Valley County, Montana,31,186,5085980,527,27418,1,1,MT
Granite County, Montana,149,946,30787004,626,32562,1,1,MT
Hill County, Montana,611,6820,262897172,741,38548,1,1,MT
Jefferson County, Montana,387,2488,105036472,812,42210,1,1,MT
Judith Basin County, Montana,99,464,15029958,623,32410,1,1,MT
Lake County, Montana,1000,8902,322025868,696,36174,1,1,MT
Lewis and Clark County, Montana,2987,35642,1648303548,889,46246,1,1,MT
Liberty County, Montana,94,514,16204477,606,31511,1,1,MT
Lincoln County, Montana,736,5566,196815795,680,35360,1,1,MT
McCone County, Montana,79,513,19868831,745,38737,1,1,MT
Madison County, Montana,492,4127,167678715,781,40627,1,1,MT
Meagher County, Montana,114,639,19377840,583,30337,1,1,MT
Mineral County, Montana,151,1133,35092367,596,30973,1,1,MT
Missoula County, Montana,5367,60712,2570012519,814,42331,1,1,MT
Musselshell County, Montana,157,1229,57673899,903,46937,1,1,MT
Park County, Montana,1002,6150,218708012,684,35561,1,1,MT
Petroleum County, Montana,21,94,2505619,513,26656,1,1,MT
Phillips County, Montana,186,1252,41520951,638,33153,1,1,MT
Pondera County, Montana,233,1638,53558776,629,32694,1,1,MT
Powder River County, Montana,97,496,14942123,579,30125,1,1,MT
Powell County, Montana,234,2374,93758740,759,39493,1,1,MT
Prairie County, Montana,53,295,11299717,736,38282,1,1,MT
Ravalli County, Montana,1852,11894,437047198,707,36744,1,1,MT
Richland County, Montana,639,5375,283584010,1015,52759,1,1,MT
Roosevelt County, Montana,281,3553,141053146,763,39698,1,1,MT
Rosebud County, Montana,250,3839,193699735,970,50456,1,1,MT
Sanders County, Montana,441,2857,94474564,636,33063,1,1,MT
Sheridan County, Montana,221,1279,50222980,755,39265,1,1,MT
Silver Bow County, Montana,1329,15819,659771512,802,41707,1,1,MT
Stillwater County, Montana,337,3233,199310927,1186,61657,1,1,MT
Sweet Grass County, Montana,236,1481,74955302,973,50620,1,1,MT
Teton County, Montana,274,1649,56750489,662,34417,1,1,MT
Toole County, Montana,232,1868,80813337,832,43260,1,1,MT
Treasure County, Montana,36,199,7020632,679,35294,1,1,MT
Valley County, Montana,356,3021,115924151,738,38377,1,1,MT
Wheatland County, Montana,93,626,22722704,698,36289,1,1,MT
Wibaux County, Montana,46,256,8209503,616,32048,1,1,MT
Yellowstone County, Montana,6784,81310,3883611928,919,47763,1,1,MT
Unknown Or Undefined, Montana,3368,8376,596316743,1369,71196,1,1,MT
Adams County, Nebraska,1147,15339,604762764,758,39427,1,1,NE
Antelope County, Nebraska,288,2200,80823667,706,36732,1,1,NE
Arthur County, Nebraska,16,84,2397462,550,28598,1,1,NE
Banner County, Nebraska,10,110,4059703,707,36767,1,1,NE
Blaine County, Nebraska,25,129,4544363,676,35137,1,1,NE
Boone County, Nebraska,272,2374,89003067,721,37495,1,1,NE
Box Butte County, Nebraska,431,3807,139719367,706,36705,1,1,NE
Boyd County, Nebraska,105,599,17669259,567,29486,1,1,NE
Brown County, Nebraska,175,1241,42895181,664,34553,1,1,NE
Buffalo County, Nebraska,1938,27377,1091038935,766,39852,1,1,NE
Burt County, Nebraska,266,1799,65325712,698,36307,1,1,NE
Butler County, Nebraska,278,2537,101177037,767,39882,1,1,NE
Cass County, Nebraska,698,5816,219491738,726,37741,1,1,NE
Cedar County, Nebraska,346,2614,93260927,686,35677,1,1,NE
Chase County, Nebraska,234,1863,68911616,711,36996,1,1,NE
Cherry County, Nebraska,333,2294,72161502,605,31455,1,1,NE
Cheyenne County, Nebraska,387,4581,221347657,929,48320,1,1,NE
Clay County, Nebraska,291,2338,98532038,810,42142,1,1,NE
Colfax County, Nebraska,320,5110,221725597,834,43393,1,1,NE
Cuming County, Nebraska,437,3699,147698200,768,39932,1,1,NE
Custer County, Nebraska,507,4571,171613087,722,37540,1,1,NE
Dakota County, Nebraska,526,12758,590831662,891,46312,1,1,NE
Dawes County, Nebraska,347,3161,106529538,648,33704,1,1,NE
Dawson County, Nebraska,847,11429,450637066,758,39430,1,1,NE
Deuel County, Nebraska,82,525,16599567,608,31598,1,1,NE
Dixon County, Nebraska,146,1702,61966979,700,36405,1,1,NE
Dodge County, Nebraska,1178,17299,685217617,762,39611,1,1,NE
Douglas County, Nebraska,18798,339498,17738335669,1005,52249,1,1,NE
Dundy County, Nebraska,93,560,21588830,741,38534,1,1,NE
Fillmore County, Nebraska,297,2189,86946019,764,39716,1,1,NE
Franklin County, Nebraska,122,737,22951301,599,31149,1,1,NE
Frontier County, Nebraska,92,802,27800524,667,34678,1,1,NE
Furnas County, Nebraska,241,1986,70436007,682,35472,1,1,NE
Gage County, Nebraska,789,9032,332081692,707,36769,1,1,NE
Garden County, Nebraska,89,563,18145537,620,32240,1,1,NE
Garfield County, Nebraska,125,834,24908455,574,29860,1,1,NE
Gosper County, Nebraska,70,386,13823689,688,35789,1,1,NE
Grant County, Nebraska,58,294,8694678,568,29557,1,1,NE
Greeley County, Nebraska,121,617,19730301,615,31973,1,1,NE
Hall County, Nebraska,2130,34889,1396605052,770,40030,1,1,NE
Hamilton County, Nebraska,379,3637,157496903,833,43304,1,1,NE
Harlan County, Nebraska,149,859,27528782,616,32044,1,1,NE
Hayes County, Nebraska,37,201,6387894,613,31860,1,1,NE
Hitchcock County, Nebraska,100,650,23533233,697,36224,1,1,NE
Holt County, Nebraska,563,4485,163129425,699,36374,1,1,NE
Hooker County, Nebraska,38,321,8699338,521,27087,1,1,NE
Howard County, Nebraska,224,1609,54342481,649,33765,1,1,NE
Jefferson County, Nebraska,289,3311,116682135,678,35236,1,1,NE
Johnson County, Nebraska,152,1551,61452991,762,39617,1,1,NE
Kearney County, Nebraska,221,2209,84294037,734,38167,1,1,NE
Keith County, Nebraska,416,3278,113370629,665,34581,1,1,NE
Keya Paha County, Nebraska,32,142,4109280,557,28939,1,1,NE
Kimball County, Nebraska,157,1439,53720303,718,37321,1,1,NE
Knox County, Nebraska,344,2922,97787902,644,33465,1,1,NE
Lancaster County, Nebraska,10206,171368,7766608328,872,45321,1,1,NE
Lincoln County, Nebraska,1287,14516,576252704,763,39698,1,1,NE
Logan County, Nebraska,40,193,5879920,586,30453,1,1,NE
Loup County, Nebraska,21,121,3001255,476,24736,1,1,NE
McPherson County, Nebraska,12,69,2224564,622,32318,1,1,NE
Madison County, Nebraska,1486,21732,891306374,789,41013,1,1,NE
Merrick County, Nebraska,286,2328,91606550,757,39353,1,1,NE
Morrill County, Nebraska,197,1534,56709279,711,36958,1,1,NE
Nance County, Nebraska,139,1063,35556820,643,33452,1,1,NE
Nemaha County, Nebraska,236,3026,156783416,996,51812,1,1,NE
Nuckolls County, Nebraska,194,1475,48697940,635,33021,1,1,NE
Otoe County, Nebraska,552,6075,235150559,744,38711,1,1,NE
Pawnee County, Nebraska,105,741,26089090,677,35208,1,1,NE
Perkins County, Nebraska,160,1145,47719252,801,41676,1,1,NE
Phelps County, Nebraska,435,4719,199215210,812,42216,1,1,NE
Pierce County, Nebraska,255,1964,70476874,690,35890,1,1,NE
Platte County, Nebraska,1176,19009,819262773,829,43098,1,1,NE
Polk County, Nebraska,186,1473,52812211,690,35856,1,1,NE
Red Willow County, Nebraska,479,5028,185646487,710,36924,1,1,NE
Richardson County, Nebraska,330,2515,83763481,640,33303,1,1,NE
Rock County, Nebraska,61,486,16894637,669,34763,1,1,NE
Saline County, Nebraska,396,7160,304373597,818,42512,1,1,NE
Sarpy County, Nebraska,4032,71352,3354304775,904,47011,1,1,NE
Saunders County, Nebraska,614,5420,198245761,703,36578,1,1,NE
Scotts Bluff County, Nebraska,1457,16622,649338279,751,39066,1,1,NE
Seward County, Nebraska,523,6164,257126150,802,41712,1,1,NE
Sheridan County, Nebraska,261,1743,54204727,598,31093,1,1,NE
Sherman County, Nebraska,114,812,24380283,578,30034,1,1,NE
Sioux County, Nebraska,26,153,5043477,635,33036,1,1,NE
Stanton County, Nebraska,107,1332,88455489,1277,66396,1,1,NE
Thayer County, Nebraska,258,2398,89644824,719,37377,1,1,NE
Thomas County, Nebraska,36,264,8861342,647,33619,1,1,NE
Thurston County, Nebraska,182,2933,123370806,809,42067,1,1,NE
Valley County, Nebraska,244,1785,63675812,686,35666,1,1,NE
Washington County, Nebraska,668,7832,419823083,1031,53602,1,1,NE
Wayne County, Nebraska,281,4193,151922786,697,36237,1,1,NE
Webster County, Nebraska,134,1042,33039511,610,31705,1,1,NE
Wheeler County, Nebraska,41,306,10610979,667,34686,1,1,NE
York County, Nebraska,618,7764,303077462,751,39036,1,1,NE
Unknown Or Undefined, Nebraska,6078,21639,1502699713,1335,69445,1,1,NE
Churchill County, Nevada,640,8341,398953088,920,47828,1,1,NV
Clark County, Nevada,55042,995625,49016990323,947,49232,1,1,NV
Douglas County, Nevada,1825,19648,916532989,897,46647,1,1,NV
Elko County, Nevada,1360,22407,1150129566,987,51328,1,1,NV
Esmeralda County, Nevada,30,283,13180104,894,46504,1,1,NV
Eureka County, Nevada,51,4541,455976776,1931,100419,1,1,NV
Humboldt County, Nevada,502,7565,428445305,1089,56633,1,1,NV
Lander County, Nevada,127,3461,276181570,1535,79796,1,1,NV
Lincoln County, Nevada,130,1268,48096478,729,37919,1,1,NV
Lyon County, Nevada,1043,12109,517518059,822,42738,1,1,NV
Mineral County, Nevada,90,1599,80802067,972,50543,1,1,NV
Nye County, Nevada,856,12071,617193565,983,51132,1,1,NV
Pershing County, Nevada,114,1948,111569185,1101,57261,1,1,NV
Storey County, Nevada,256,17214,960295862,1073,55785,1,1,NV
Washoe County, Nevada,14755,221807,11233421610,974,50645,1,1,NV
White Pine County, Nevada,276,4201,242042948,1108,57621,1,1,NV
Carson City, Nevada,2080,29959,1515812765,973,50597,1,1,NV
Unknown Or Undefined, Nevada,1957,6937,616823039,1710,88921,1,1,NV
Belknap County, New Hampshire,2046,25897,1146166182,851,44259,1,1,NH
Carroll County, New Hampshire,2008,20009,739450713,711,36955,1,1,NH
Cheshire County, New Hampshire,2140,31641,1473325580,895,46564,1,1,NH
Coos County, New Hampshire,1003,11969,466733695,750,38997,1,1,NH
Grafton County, New Hampshire,3310,54119,3111568031,1106,57495,1,1,NH
Hillsborough County, New Hampshire,12153,203971,12535888567,1182,61459,1,1,NH
Merrimack County, New Hampshire,5175,77475,4078587189,1012,52644,1,1,NH
Rockingham County, New Hampshire,11007,149842,8326541191,1069,55569,1,1,NH
Strafford County, New Hampshire,2898,48342,2525464701,1005,52241,1,1,NH
Sullivan County, New Hampshire,1101,13969,607222787,836,43470,1,1,NH
Unknown Or Undefined, New Hampshire,9846,21578,2397709888,2137,111120,1,1,NH
Atlantic County, New Jersey,6509,126857,5921161378,898,46676,1,1,NJ
Bergen County, New Jersey,32760,444165,29091190023,1260,65496,1,1,NJ
Burlington County, New Jersey,10970,201406,11598157439,1107,57586,1,1,NJ
Camden County, New Jersey,12063,204837,11112004552,1043,54248,1,1,NJ
Cape May County, New Jersey,3853,41626,1574250215,727,37819,1,1,NJ
Cumberland County, New Jersey,3133,58859,2715289232,887,46132,1,1,NJ
Essex County, New Jersey,20439,341312,24033193698,1354,70414,1,1,NJ
Gloucester County, New Jersey,6295,110483,5173052351,900,46822,1,1,NJ
Hudson County, New Jersey,14980,263824,20526624098,1496,77804,1,1,NJ
Hunterdon County, New Jersey,4002,47092,3097778908,1265,65781,1,1,NJ
Mercer County, New Jersey,11047,252249,18006181824,1373,71383,1,1,NJ
Middlesex County, New Jersey,22186,429720,28174418917,1261,65565,1,1,NJ
Monmouth County, New Jersey,19966,261149,14563513325,1072,55767,1,1,NJ
Morris County, New Jersey,16948,291229,24193829602,1598,83075,1,1,NJ
Ocean County, New Jersey,13396,168899,7498857503,854,44399,1,1,NJ
Passaic County, New Jersey,12454,165950,8913501624,1033,53712,1,1,NJ
Salem County, New Jersey,1296,20885,1197579606,1103,57341,1,1,NJ
Somerset County, New Jersey,10137,187761,16427563417,1683,87492,1,1,NJ
Sussex County, New Jersey,3465,37966,1787723118,906,47087,1,1,NJ
Union County, New Jersey,14318,226569,15591063295,1323,68814,1,1,NJ
Warren County, New Jersey,2754,32916,1637488944,957,49748,1,1,NJ
Unknown Or Undefined, New Jersey,27113,128199,12882020034,1932,100484,1,1,NJ
Bernalillo County, New Mexico,19074,329623,15610899796,911,47360,1,1,NM
Catron County, New Mexico,102,649,20018355,593,30825,1,1,NM
Chaves County, New Mexico,1831,21132,754695855,687,35713,1,1,NM
Cibola County, New Mexico,489,7595,275032495,696,36212,1,1,NM
Colfax County, New Mexico,532,4504,144199595,616,32014,1,1,NM
Curry County, New Mexico,1242,16898,612761204,697,36262,1,1,NM
De Baca County, New Mexico,79,430,14608961,654,33988,1,1,NM
Dona Ana County, New Mexico,4847,72723,2789410487,738,38357,1,1,NM
Eddy County, New Mexico,1803,30329,1808934279,1147,59645,1,1,NM
Grant County, New Mexico,754,9152,381481157,802,41684,1,1,NM
Guadalupe County, New Mexico,165,1508,45598774,581,30236,1,1,NM
Harding County, New Mexico,38,162,5548316,659,34266,1,1,NM
Hidalgo County, New Mexico,165,1664,65137295,753,39157,1,1,NM
Lea County, New Mexico,2020,31764,1720636710,1042,54170,1,1,NM
Lincoln County, New Mexico,812,6404,203351519,611,31756,1,1,NM
Los Alamos County, New Mexico,449,16332,1388344141,1635,85008,1,1,NM
Luna County, New Mexico,534,7593,267603447,678,35242,1,1,NM
Mckinley County, New Mexico,1264,20528,719657015,674,35058,1,1,NM
Mora County, New Mexico,133,700,22628404,622,32334,1,1,NM
Otero County, New Mexico,1175,17257,652971522,728,37839,1,1,NM
Quay County, New Mexico,331,2581,81981015,611,31769,1,1,NM
Rio Arriba County, New Mexico,838,9825,350446247,686,35669,1,1,NM
Roosevelt County, New Mexico,447,5898,208032221,678,35271,1,1,NM
Sandoval County, New Mexico,2348,30250,1221087039,776,40366,1,1,NM
San Juan County, New Mexico,2950,47270,2164603672,881,45793,1,1,NM
San Miguel County, New Mexico,788,8109,250601897,594,30904,1,1,NM
Santa Fe County, New Mexico,5772,61243,2720599110,854,44423,1,1,NM
Sierra County, New Mexico,341,3364,103203271,590,30683,1,1,NM
Socorro County, New Mexico,374,5183,195203320,724,37666,1,1,NM
Taos County, New Mexico,1324,10800,350817873,625,32484,1,1,NM
Torrance County, New Mexico,328,3085,107123599,668,34728,1,1,NM
Union County, New Mexico,190,1323,46046207,669,34811,1,1,NM
Valencia County, New Mexico,1303,15041,531814875,680,35357,1,1,NM
Unknown Or Undefined, New Mexico,5336,20935,1263222897,1160,60342,1,1,NM
Albany County, New York,10304,233519,13619973592,1122,58325,1,1,NY
Allegany County, New York,930,13151,524015834,766,39847,1,1,NY
Bronx County, New York,18959,320461,17879450497,1073,55793,1,1,NY
Broome County, New York,4477,86163,3861405810,862,44815,1,1,NY
Cattaraugus County, New York,1794,28968,1161921208,771,40111,1,1,NY
Cayuga County, New York,1722,25484,1130248391,853,44352,1,1,NY
Chautauqua County, New York,3132,48631,1946806796,770,40032,1,1,NY
Chemung County, New York,1927,35274,1655061640,902,46921,1,1,NY
Chenango County, New York,1059,17290,789297324,878,45651,1,1,NY
Clinton County, New York,2002,34448,1562945405,873,45372,1,1,NY
Columbia County, New York,2028,21966,900303436,788,40986,1,1,NY
Cortland County, New York,1104,18032,744261612,794,41275,1,1,NY
Delaware County, New York,1179,14686,658395931,862,44831,1,1,NY
Dutchess County, New York,8355,113204,6076006357,1032,53673,1,1,NY
Erie County, New York,24464,469661,23642089837,968,50339,1,1,NY
Essex County, New York,1257,14615,606444600,798,41494,1,1,NY
Franklin County, New York,1139,18006,792768251,847,44028,1,1,NY
Fulton County, New York,1219,16798,680632801,779,40518,1,1,NY
Genesee County, New York,1482,23481,967441908,792,41201,1,1,NY
Greene County, New York,1260,14766,611912175,797,41440,1,1,NY
Hamilton County, New York,242,1786,62105922,669,34774,1,1,NY
Herkimer County, New York,1255,16717,646473998,744,38672,1,1,NY
Jefferson County, New York,2849,40891,1702222426,801,41629,1,1,NY
Kings County, New York,63459,767246,37437607409,938,48795,1,1,NY
Lewis County, New York,585,6548,263491136,774,40239,1,1,NY
Livingston County, New York,1469,20731,862702381,800,41614,1,1,NY
Madison County, New York,1611,21345,887183452,799,41564,1,1,NY
Monroe County, New York,18781,388333,20049668160,993,51630,1,1,NY
Montgomery County, New York,1218,19600,803325803,788,40987,1,1,NY
Nassau County, New York,53779,632264,39119246201,1190,61872,1,1,NY
New York County, New York,127610,2463454,3.04316E+11,2376,123532,1,1,NY
Niagara County, New York,4846,72377,3065892371,815,42360,1,1,NY
Oneida County, New York,5279,105568,4602372979,838,43596,1,1,NY
Onondaga County, New York,12737,245912,12786471759,1000,51996,1,1,NY
Ontario County, New York,3210,53518,2530944437,909,47292,1,1,NY
Orange County, New York,10481,145144,6947142111,920,47864,1,1,NY
Orleans County, New York,788,12315,526183245,822,42729,1,1,NY
Oswego County, New York,2356,34061,1604836120,906,47117,1,1,NY
Otsego County, New York,1564,23663,1025775649,834,43349,1,1,NY
Putnam County, New York,3068,26173,1401546357,1030,53549,1,1,NY
Queens County, New York,53385,703902,39464701198,1078,56066,1,1,NY
Rensselaer County, New York,3326,53760,2771739366,991,51558,1,1,NY
Richmond County, New York,9892,122937,6482488648,1014,52730,1,1,NY
Rockland County, New York,10869,126303,6737072707,1026,53340,1,1,NY
St. Lawrence County, New York,2151,35719,1647532071,887,46125,1,1,NY
Saratoga County, New York,5989,88899,4563944201,987,51339,1,1,NY
Schenectady County, New York,3457,62691,3517520035,1079,56109,1,1,NY
Schoharie County, New York,694,8956,367963512,790,41085,1,1,NY
Schuyler County, New York,434,5014,197521154,758,39392,1,1,NY
Seneca County, New York,760,12550,559300189,857,44568,1,1,NY
Steuben County, New York,2131,37088,2154096534,1117,58080,1,1,NY
Suffolk County, New York,52921,661030,39930864506,1162,60407,1,1,NY
Sullivan County, New York,2022,28545,1202672454,810,42133,1,1,NY
Tioga County, New York,907,13372,686045863,987,51304,1,1,NY
Tompkins County, New York,2658,50583,2754287965,1047,54451,1,1,NY
Ulster County, New York,5289,61129,2687560584,845,43965,1,1,NY
Warren County, New York,2450,38252,1686992415,848,44102,1,1,NY
Washington County, New York,1202,15462,677083248,842,43789,1,1,NY
Wayne County, New York,2060,28161,1193955287,815,42397,1,1,NY
Westchester County, New York,36109,429052,31359195134,1406,73090,1,1,NY
Wyoming County, New York,893,13578,582898618,826,42930,1,1,NY
Yates County, New York,642,7138,253794266,684,35555,1,1,NY
Unknown Or Undefined, New York,35232,161519,15674766330,1866,97046,1,1,NY
Alamance County, North Carolina,3480,61155,2510048566,789,41044,1,1,NC
Alexander County, North Carolina,569,9139,312649005,658,34209,1,1,NC
Alleghany County, North Carolina,301,3172,100529673,609,31693,1,1,NC
Anson County, North Carolina,459,7089,249539898,677,35201,1,1,NC
Ashe County, North Carolina,649,7186,252116700,675,35083,1,1,NC
Avery County, North Carolina,589,6857,224224451,629,32701,1,1,NC
Beaufort County, North Carolina,1206,15679,603370983,740,38482,1,1,NC
Bertie County, North Carolina,315,5727,188304465,632,32881,1,1,NC
Bladen County, North Carolina,613,13120,475938309,698,36275,1,1,NC
Brunswick County, North Carolina,2887,32395,1272679499,756,39287,1,1,NC
Buncombe County, North Carolina,9371,132572,5749207167,834,43367,1,1,NC
Burke County, North Carolina,1457,29142,1088146834,718,37340,1,1,NC
Cabarrus County, North Carolina,4767,77222,3136640789,781,40619,1,1,NC
Caldwell County, North Carolina,1365,25215,998993101,762,39620,1,1,NC
Camden County, North Carolina,180,1206,43765471,698,36295,1,1,NC
Carteret County, North Carolina,2214,23433,810377431,665,34583,1,1,NC
Caswell County, North Carolina,281,3019,105194009,670,34850,1,1,NC
Catawba County, North Carolina,4420,88317,3810839990,830,43149,1,1,NC
Chatham County, North Carolina,1499,14882,566545095,732,38070,1,1,NC
Cherokee County, North Carolina,721,8091,272290254,647,33653,1,1,NC
Chowan County, North Carolina,381,4637,168620002,699,36363,1,1,NC
Clay County, North Carolina,258,2045,64690691,608,31628,1,1,NC
Cleveland County, North Carolina,1993,35152,1418046320,776,40340,1,1,NC
Columbus County, North Carolina,1071,15052,536430219,685,35640,1,1,NC
Craven County, North Carolina,2301,39050,1698885821,837,43505,1,1,NC
Cumberland County, North Carolina,6196,119568,5168039637,831,43223,1,1,NC
Currituck County, North Carolina,733,7130,254762062,687,35730,1,1,NC
Dare County, North Carolina,1972,19312,651769742,649,33750,1,1,NC
Davidson County, North Carolina,2853,43835,1763057304,773,40220,1,1,NC
Davie County, North Carolina,884,12851,467675055,700,36393,1,1,NC
Duplin County, North Carolina,1078,19141,688005400,691,35944,1,1,NC
Durham County, North Carolina,8470,204958,14238168801,1336,69469,1,1,NC
Edgecombe County, North Carolina,920,16067,594446369,712,36999,1,1,NC
Forsyth County, North Carolina,9187,186605,9540029504,983,51124,1,1,NC
Franklin County, North Carolina,1155,12284,530047439,830,43151,1,1,NC
Gaston County, North Carolina,4308,74602,3089471868,796,41412,1,1,NC
Gates County, North Carolina,162,1473,49755792,650,33784,1,1,NC
Graham County, North Carolina,185,2079,73933995,684,35559,1,1,NC
Granville County, North Carolina,931,21093,942690317,859,44693,1,1,NC
Greene County, North Carolina,332,4213,147877238,675,35101,1,1,NC
Guilford County, North Carolina,14409,281535,13661142784,933,48524,1,1,NC
Halifax County, North Carolina,988,15485,539430548,670,34836,1,1,NC
Harnett County, North Carolina,1757,25313,903010498,686,35674,1,1,NC
Haywood County, North Carolina,1537,17646,642398809,700,36405,1,1,NC
Henderson County, North Carolina,3099,38803,1555558972,771,40089,1,1,NC
Hertford County, North Carolina,475,9027,343549566,732,38059,1,1,NC
Hoke County, North Carolina,504,8429,302289632,690,35865,1,1,NC
Hyde County, North Carolina,208,1894,61759837,627,32602,1,1,NC
Iredell County, North Carolina,5326,73833,3531507348,920,47831,1,1,NC
Jackson County, North Carolina,1045,13823,508670659,708,36798,1,1,NC
Johnston County, North Carolina,3582,48687,1977073541,781,40608,1,1,NC
Jones County, North Carolina,213,1693,59289105,673,35020,1,1,NC
Lee County, North Carolina,1397,26093,1095557728,807,41987,1,1,NC
Lenoir County, North Carolina,1318,28477,1086517094,734,38154,1,1,NC
Lincoln County, North Carolina,1797,23028,942027933,787,40909,1,1,NC
McDowell County, North Carolina,777,16291,591050263,698,36280,1,1,NC
Macon County, North Carolina,1180,11167,380209118,655,34048,1,1,NC
Madison County, North Carolina,400,3797,130798752,662,34449,1,1,NC
Martin County, North Carolina,494,6666,210045504,606,31512,1,1,NC
Mecklenburg County, North Carolina,38214,695509,46570603797,1288,66959,1,1,NC
Mitchell County, North Carolina,376,4646,177421061,734,38187,1,1,NC
Montgomery County, North Carolina,510,9230,340027851,708,36841,1,1,NC
Moore County, North Carolina,2574,36082,1424189233,759,39471,1,1,NC
Nash County, North Carolina,2140,40328,1639549507,782,40656,1,1,NC
New Hanover County, North Carolina,8332,114461,5173181781,869,45196,1,1,NC
Northampton County, North Carolina,313,5307,201875867,732,38038,1,1,NC
Onslow County, North Carolina,3128,48448,1687769330,670,34836,1,1,NC
Orange County, North Carolina,4045,72860,4133738877,1091,56736,1,1,NC
Pamlico County, North Carolina,291,3330,102092914,590,30661,1,1,NC
Pasquotank County, North Carolina,987,15571,597138116,737,38350,1,1,NC
Pender County, North Carolina,1263,11995,427014355,685,35598,1,1,NC
Perquimans County, North Carolina,245,2113,73485561,669,34786,1,1,NC
Person County, North Carolina,724,9775,404936235,797,41424,1,1,NC
Pitt County, North Carolina,3801,77074,3459973946,863,44891,1,1,NC
Polk County, North Carolina,561,4955,161263550,626,32545,1,1,NC
Randolph County, North Carolina,2534,44874,1634943103,701,36434,1,1,NC
Richmond County, North Carolina,880,13412,468438643,672,34926,1,1,NC
Robeson County, North Carolina,1967,38580,1337937878,667,34680,1,1,NC
Rockingham County, North Carolina,1625,25098,888427793,681,35399,1,1,NC
Rowan County, North Carolina,2736,48469,2146962003,852,44296,1,1,NC
Rutherford County, North Carolina,1277,18322,650534060,683,35506,1,1,NC
Sampson County, North Carolina,1149,18449,697495127,727,37807,1,1,NC
Scotland County, North Carolina,609,11793,435472544,710,36925,1,1,NC
Stanly County, North Carolina,1345,19217,693288580,694,36077,1,1,NC
Stokes County, North Carolina,702,7490,245119772,629,32726,1,1,NC
Surry County, North Carolina,1788,29245,1080497249,710,36946,1,1,NC
Swain County, North Carolina,444,10087,360757842,688,35764,1,1,NC
Transylvania County, North Carolina,902,9041,312078084,664,34517,1,1,NC
Tyrrell County, North Carolina,98,1119,36565723,628,32680,1,1,NC
Union County, North Carolina,5511,64043,2845372069,854,44429,1,1,NC
Vance County, North Carolina,837,14484,513909453,682,35482,1,1,NC
Wake County, North Carolina,35011,560248,33509485358,1150,59812,1,1,NC
Warren County, North Carolina,298,3055,99070444,624,32432,1,1,NC
Washington County, North Carolina,245,3291,137951681,806,41916,1,1,NC
Watauga County, North Carolina,1692,23616,849698462,692,35980,1,1,NC
Wayne County, North Carolina,2260,41922,1569163772,720,37430,1,1,NC
Wilkes County, North Carolina,1310,21926,795416965,698,36277,1,1,NC
Wilson County, North Carolina,1886,36329,1619554558,857,44580,1,1,NC
Yadkin County, North Carolina,671,9898,359487232,698,36318,1,1,NC
Yancey County, North Carolina,360,4417,161272033,702,36515,1,1,NC
Unknown Or Undefined, North Carolina,18973,122295,10476478612,1647,85666,1,1,NC
Adams County, North Dakota,121,958,41159860,826,42957,1,1,ND
Barnes County, North Dakota,426,4518,178917838,762,39598,1,1,ND
Benson County, North Dakota,140,1932,75536413,752,39096,1,1,ND
Billings County, North Dakota,47,481,20908995,836,43477,1,1,ND
Bottineau County, North Dakota,309,2401,104930788,840,43700,1,1,ND
Bowman County, North Dakota,189,1483,63255846,820,42642,1,1,ND
Burke County, North Dakota,113,710,38620442,1046,54389,1,1,ND
Burleigh County, North Dakota,3825,55841,2888042672,995,51719,1,1,ND
Cass County, North Dakota,7345,118119,5992858132,976,50736,1,1,ND
Cavalier County, North Dakota,175,1403,60744210,833,43296,1,1,ND
Dickey County, North Dakota,260,1868,68891808,709,36883,1,1,ND
Divide County, North Dakota,135,823,43670577,1020,53047,1,1,ND
Dunn County, North Dakota,198,1975,144526181,1407,73175,1,1,ND
Eddy County, North Dakota,99,736,24217729,633,32905,1,1,ND
Emmons County, North Dakota,165,936,34052080,700,36393,1,1,ND
Foster County, North Dakota,166,1631,72473464,854,44433,1,1,ND
Golden Valley County, North Dakota,91,644,23134579,691,35942,1,1,ND
Grand Forks County, North Dakota,2262,40205,1857259104,888,46195,1,1,ND
Grant County, North Dakota,87,549,19134082,670,34847,1,1,ND
Griggs County, North Dakota,102,831,31023127,718,37325,1,1,ND
Hettinger County, North Dakota,131,705,31153436,850,44215,1,1,ND
Kidder County, North Dakota,107,672,24406101,698,36314,1,1,ND
LaMoure County, North Dakota,222,1360,52302446,740,38469,1,1,ND
Logan County, North Dakota,95,635,19260973,584,30352,1,1,ND
McHenry County, North Dakota,191,1272,56744245,858,44601,1,1,ND
McIntosh County, North Dakota,147,1046,37436926,688,35785,1,1,ND
McKenzie County, North Dakota,785,10568,803272567,1462,76012,1,1,ND
McLean County, North Dakota,371,3442,198758033,1111,57752,1,1,ND
Mercer County, North Dakota,325,4598,322955281,1351,70233,1,1,ND
Morton County, North Dakota,1059,11397,521447244,880,45755,1,1,ND
Mountrail County, North Dakota,540,5954,398686987,1288,66965,1,1,ND
Nelson County, North Dakota,167,972,33726303,668,34716,1,1,ND
